,Graph Mod Id,Graph Score,G1 Graph Score,Sum Graph Score
0,Original Graph,751,2111,2862
187,"MBF-to-Cln3 -> 0to1 | Cdh1-to-Clb1,2 -> -1to0",11784,0,11784
188,"MBF-to-Cln3 -> 0to1 | Cdh1-to-Clb1,2 -> -1to1",12419,0,12419
189,"MBF-to-Cln3 -> 0to1 | Swi5-to-Clb1,2 -> 0to1",14516,0,14516
190,"MBF-to-Cln3 -> 0to1 | Swi5-to-Clb1,2 -> 0to-1",13561,0,13561
191,"MBF-to-Cln3 -> 0to1 | Cdc2014-to-Clb1,2 -> -1to0",14743,0,14743
192,"MBF-to-Cln3 -> 0to1 | Cdc2014-to-Clb1,2 -> -1to1",22601,0,22601
193,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-Clb1,2 -> 1to0",13690,0,13690
194,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-Clb1,2 -> 1to-1",13204,0,13204
195,"MBF-to-Cln3 -> 0to1 | Sic1-to-Clb1,2 -> -1to0",14691,0,14691
196,"MBF-to-Cln3 -> 0to1 | Sic1-to-Clb1,2 -> -1to1",38129,0,38129
197,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-Clb1,2 -> 1to0",13689,0,13689
198,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-Clb1,2 -> 1to-1",13176,0,13176
199,"MBF-to-Cln3 -> 0to1 | Cln3-to-Mcm1,SFF -> 0to1",10251,0,10251
200,"MBF-to-Cln3 -> 0to1 | Cln3-to-Mcm1,SFF -> 0to-1",12890,0,12890
201,"MBF-to-Cln3 -> 0to1 | MBF-to-Mcm1,SFF -> 0to1",10270,0,10270
202,"MBF-to-Cln3 -> 0to1 | MBF-to-Mcm1,SFF -> 0to-1",12582,0,12582
203,"MBF-to-Cln3 -> 0to1 | SBF-to-Mcm1,SFF -> 0to1",10617,0,10617
204,"MBF-to-Cln3 -> 0to1 | SBF-to-Mcm1,SFF -> 0to-1",12725,0,12725
205,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-Mcm1,SFF -> 0to1",10771,0,10771
206,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-Mcm1,SFF -> 0to-1",12840,0,12840
207,"MBF-to-Cln3 -> 0to1 | Cdh1-to-Mcm1,SFF -> 0to1",14216,0,14216
208,"MBF-to-Cln3 -> 0to1 | Cdh1-to-Mcm1,SFF -> 0to-1",12616,0,12616
209,"MBF-to-Cln3 -> 0to1 | Swi5-to-Mcm1,SFF -> 0to1",12946,0,12946
210,"MBF-to-Cln3 -> 0to1 | Swi5-to-Mcm1,SFF -> 0to-1",12648,0,12648
211,"MBF-to-Cln3 -> 0to1 | Cdc2014-to-Mcm1,SFF -> 0to1",37798,0,37798
212,"MBF-to-Cln3 -> 0to1 | Cdc2014-to-Mcm1,SFF -> 0to-1",12905,0,12905
