,Graph Mod Id,Graph Score,G1 Graph Score,Sum Graph Score
149,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-Clb5,6 -> 0to1",12724,0,12724
150,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-Clb5,6 -> 0to-1",11668,0,11668
151,"First: MBF-to-Cln3 -> 0to1, Second: Cdc2014-to-Clb5,6 -> -1to0",14586,0,14586
152,"First: MBF-to-Cln3 -> 0to1, Second: Cdc2014-to-Clb5,6 -> -1to1",15668,0,15668
153,"First: MBF-to-Cln3 -> 0to1, Second: Sic1-to-Clb5,6 -> -1to0",11939,0,11939
154,"First: MBF-to-Cln3 -> 0to1, Second: Sic1-to-Clb5,6 -> -1to1",14679,0,14679
155,"First: MBF-to-Cln3 -> 0to1, Second: Clb1,2-to-Clb5,6 -> 0to1",14630,0,14630
156,"First: MBF-to-Cln3 -> 0to1, Second: Clb1,2-to-Clb5,6 -> 0to-1",11788,0,11788
157,"First: MBF-to-Cln3 -> 0to1, Second: Mcm1,SFF-to-Clb5,6 -> 0to1",14464,0,14464
158,"First: MBF-to-Cln3 -> 0to1, Second: Mcm1,SFF-to-Clb5,6 -> 0to-1",11548,0,11548
159,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-Sic1 -> 0to1",7370,0,7370
160,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-Sic1 -> 0to-1",12394,0,12394
161,"First: MBF-to-Cln3 -> 0to1, Second: MBF-to-Sic1 -> 0to1",7168,0,7168
162,"First: MBF-to-Cln3 -> 0to1, Second: MBF-to-Sic1 -> 0to-1",12440,0,12440
163,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-Sic1 -> 0to1",7385,0,7385
164,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-Sic1 -> 0to-1",12428,0,12428
165,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-Sic1 -> -1to0",7755,0,7755
166,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-Sic1 -> -1to1",7060,0,7060
167,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-Sic1 -> 0to1",12558,0,12558
168,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-Sic1 -> 0to-1",13255,0,13255
169,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-Sic1 -> 1to0",15360,0,15360
170,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-Sic1 -> 1to-1",15657,0,15657
171,"First: MBF-to-Cln3 -> 0to1, Second: Cdc2014-to-Sic1 -> 1to0",15320,0,15320
172,"First: MBF-to-Cln3 -> 0to1, Second: Cdc2014-to-Sic1 -> 1to-1",15316,0,15316
173,"First: MBF-to-Cln3 -> 0to1, Second: Clb5,6-to-Sic1 -> -1to0",12904,0,12904
174,"First: MBF-to-Cln3 -> 0to1, Second: Clb5,6-to-Sic1 -> -1to1",11308,0,11308
175,"First: MBF-to-Cln3 -> 0to1, Second: Clb1,2-to-Sic1 -> -1to0",12706,0,12706
176,"First: MBF-to-Cln3 -> 0to1, Second: Clb1,2-to-Sic1 -> -1to1",10726,0,10726
177,"First: MBF-to-Cln3 -> 0to1, Second: Mcm1,SFF-to-Sic1 -> 0to1",12860,0,12860
178,"First: MBF-to-Cln3 -> 0to1, Second: Mcm1,SFF-to-Sic1 -> 0to-1",15372,0,15372
179,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-Clb1,2 -> 0to1",11562,0,11562
180,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-Clb1,2 -> 0to-1",13169,0,13169
181,"First: MBF-to-Cln3 -> 0to1, Second: MBF-to-Clb1,2 -> 0to1",11377,0,11377
182,"First: MBF-to-Cln3 -> 0to1, Second: MBF-to-Clb1,2 -> 0to-1",13769,0,13769
183,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-Clb1,2 -> 0to1",11001,0,11001
184,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-Clb1,2 -> 0to-1",13599,0,13599
185,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-Clb1,2 -> 0to1",11054,0,11054
186,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-Clb1,2 -> 0to-1",13269,0,13269
187,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-Clb1,2 -> -1to0",11784,0,11784
188,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-Clb1,2 -> -1to1",12419,0,12419
189,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-Clb1,2 -> 0to1",14516,0,14516
190,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-Clb1,2 -> 0to-1",13561,0,13561
191,"First: MBF-to-Cln3 -> 0to1, Second: Cdc2014-to-Clb1,2 -> -1to0",14743,0,14743
192,"First: MBF-to-Cln3 -> 0to1, Second: Cdc2014-to-Clb1,2 -> -1to1",14031,0,14031
193,"First: MBF-to-Cln3 -> 0to1, Second: Clb5,6-to-Clb1,2 -> 1to0",13690,0,13690
194,"First: MBF-to-Cln3 -> 0to1, Second: Clb5,6-to-Clb1,2 -> 1to-1",13204,0,13204
195,"First: MBF-to-Cln3 -> 0to1, Second: Sic1-to-Clb1,2 -> -1to0",14691,0,14691
196,"First: MBF-to-Cln3 -> 0to1, Second: Sic1-to-Clb1,2 -> -1to1",10791,0,10791
197,"First: MBF-to-Cln3 -> 0to1, Second: Mcm1,SFF-to-Clb1,2 -> 1to0",13689,0,13689
198,"First: MBF-to-Cln3 -> 0to1, Second: Mcm1,SFF-to-Clb1,2 -> 1to-1",13176,0,13176
199,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-Mcm1,SFF -> 0to1",10251,0,10251
200,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-Mcm1,SFF -> 0to-1",12890,0,12890
201,"First: MBF-to-Cln3 -> 0to1, Second: MBF-to-Mcm1,SFF -> 0to1",10270,0,10270
202,"First: MBF-to-Cln3 -> 0to1, Second: MBF-to-Mcm1,SFF -> 0to-1",12582,0,12582
203,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-Mcm1,SFF -> 0to1",10617,0,10617
204,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-Mcm1,SFF -> 0to-1",12725,0,12725
205,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-Mcm1,SFF -> 0to1",10771,0,10771
206,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-Mcm1,SFF -> 0to-1",12840,0,12840
207,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-Mcm1,SFF -> 0to1",14216,0,14216
208,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-Mcm1,SFF -> 0to-1",12616,0,12616
209,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-Mcm1,SFF -> 0to1",12946,0,12946
210,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-Mcm1,SFF -> 0to-1",12648,0,12648
211,"First: MBF-to-Cln3 -> 0to1, Second: Cdc2014-to-Mcm1,SFF -> 0to1",12608,0,12608
212,"First: MBF-to-Cln3 -> 0to1, Second: Cdc2014-to-Mcm1,SFF -> 0to-1",12905,0,12905
213,"First: MBF-to-Cln3 -> 0to1, Second: Clb5,6-to-Mcm1,SFF -> 1to0",12959,0,12959
214,"First: MBF-to-Cln3 -> 0to1, Second: Clb5,6-to-Mcm1,SFF -> 1to-1",12237,0,12237
215,"First: MBF-to-Cln3 -> 0to1, Second: Sic1-to-Mcm1,SFF -> 0to1",12891,0,12891
216,"First: MBF-to-Cln3 -> 0to1, Second: Sic1-to-Mcm1,SFF -> 0to-1",12632,0,12632
217,"First: MBF-to-Cln3 -> 0to1, Second: Clb1,2-to-Mcm1,SFF -> 1to0",12658,0,12658
218,"First: MBF-to-Cln3 -> 0to1, Second: Clb1,2-to-Mcm1,SFF -> 1to-1",11888,0,11888
219,"First: MBF-to-Cln3 -> 0to-1, Second: SBF-to-Cln3 -> 0to1",11236,0,11236
220,"First: MBF-to-Cln3 -> 0to-1, Second: SBF-to-Cln3 -> 0to-1",751,2111,2862
221,"First: MBF-to-Cln3 -> 0to-1, Second: Cln1,2-to-Cln3 -> 0to1",11628,0,11628
222,"First: MBF-to-Cln3 -> 0to-1, Second: Cln1,2-to-Cln3 -> 0to-1",635,2111,2746
223,"First: MBF-to-Cln3 -> 0to-1, Second: Cdh1-to-Cln3 -> 0to1",10196,0,10196
224,"First: MBF-to-Cln3 -> 0to-1, Second: Cdh1-to-Cln3 -> 0to-1",1040,0,1040
225,"First: MBF-to-Cln3 -> 0to-1, Second: Swi5-to-Cln3 -> 0to1",12029,0,12029
226,"First: MBF-to-Cln3 -> 0to-1, Second: Swi5-to-Cln3 -> 0to-1",623,2111,2734
227,"First: MBF-to-Cln3 -> 0to-1, Second: Cdc2014-to-Cln3 -> 0to1",12096,0,12096
228,"First: MBF-to-Cln3 -> 0to-1, Second: Cdc2014-to-Cln3 -> 0to-1",675,2111,2786
229,"First: MBF-to-Cln3 -> 0to-1, Second: Clb5,6-to-Cln3 -> 0to1",10240,0,10240
230,"First: MBF-to-Cln3 -> 0to-1, Second: Clb5,6-to-Cln3 -> 0to-1",737,2111,2848
231,"First: MBF-to-Cln3 -> 0to-1, Second: Sic1-to-Cln3 -> 0to1",11823,0,11823
232,"First: MBF-to-Cln3 -> 0to-1, Second: Sic1-to-Cln3 -> 0to-1",1062,0,1062
233,"First: MBF-to-Cln3 -> 0to-1, Second: Clb1,2-to-Cln3 -> 0to1",11136,0,11136
234,"First: MBF-to-Cln3 -> 0to-1, Second: Clb1,2-to-Cln3 -> 0to-1",751,2111,2862
235,"First: MBF-to-Cln3 -> 0to-1, Second: Mcm1,SFF-to-Cln3 -> 0to1",12053,0,12053
236,"First: MBF-to-Cln3 -> 0to-1, Second: Mcm1,SFF-to-Cln3 -> 0to-1",575,2111,2686
237,"First: MBF-to-Cln3 -> 0to-1, Second: Cln3-to-MBF -> 1to0",3607,0,3607
238,"First: MBF-to-Cln3 -> 0to-1, Second: Cln3-to-MBF -> 1to-1",4155,0,4155
239,"First: MBF-to-Cln3 -> 0to-1, Second: SBF-to-MBF -> 0to1",36,1605,1641
240,"First: MBF-to-Cln3 -> 0to-1, Second: SBF-to-MBF -> 0to-1",3927,0,3927
241,"First: MBF-to-Cln3 -> 0to-1, Second: Cln1,2-to-MBF -> 0to1",18,1005,1023
242,"First: MBF-to-Cln3 -> 0to-1, Second: Cln1,2-to-MBF -> 0to-1",3760,0,3760
243,"First: MBF-to-Cln3 -> 0to-1, Second: Cdh1-to-MBF -> 0to1",4235,0,4235
244,"First: MBF-to-Cln3 -> 0to-1, Second: Cdh1-to-MBF -> 0to-1",2260,0,2260
245,"First: MBF-to-Cln3 -> 0to-1, Second: Swi5-to-MBF -> 0to1",2476,0,2476
246,"First: MBF-to-Cln3 -> 0to-1, Second: Swi5-to-MBF -> 0to-1",2616,0,2616
247,"First: MBF-to-Cln3 -> 0to-1, Second: Cdc2014-to-MBF -> 0to1",2482,0,2482
248,"First: MBF-to-Cln3 -> 0to-1, Second: Cdc2014-to-MBF -> 0to-1",1890,0,1890
249,"First: MBF-to-Cln3 -> 0to-1, Second: Clb5,6-to-MBF -> 0to1",2738,0,2738
